series,signal_type,n_short,n_long,kappa,n_fires,n_fires_deduped,fire_rate_pct,tp_rate,fp_rate,avg_fwd_5d,avg_fwd_10d,avg_fwd_20d,avg_fwd_maxdd_20,avg_fwd_maxdd_40,median_fwd_maxdd_20
Portfolio,VR+R5<0,5,100,2.25,122,30.0,5.393457117595048,0.3524590163934426,0.6475409836065574,0.40832782651125266,1.1041800102699586,2.5135127117177363,-4.4020407382552245,-6.03236422203785,-3.5152082230304154
Portfolio,VR_only,5,100,2.25,193,34.0,8.532272325375773,0.39378238341968913,0.6062176165803109,0.21232000678737595,0.963906606022845,1.5460949002086224,-4.681379514603505,-6.409563396905006,-3.739791283861228
Portfolio,VR+R5<0,5,100,2.5,104,26.0,4.597701149425287,0.34615384615384615,0.6538461538461539,0.3271222195634746,1.1627183992949617,2.691329447991606,-4.296065290728477,-5.95819428083277,-3.380880364212903
Portfolio,VR_only,5,100,2.5,156,29.0,6.896551724137931,0.36538461538461536,0.6346153846153846,0.2702649339514279,1.1509188589109587,1.7909979065019115,-4.4853982210621535,-6.182471856218612,-3.515845862416525
Portfolio,VR+R5<0,5,100,3.0,64,17.0,2.829354553492484,0.28125,0.71875,0.6783986310752617,1.4699330407871853,3.8806952984031646,-4.004013102791018,-4.6714604945811224,-2.6723685895312315
Portfolio,VR_only,5,100,3.0,97,21.0,4.288240495137047,0.28865979381443296,0.711340206185567,0.5854462445505267,1.5292399689552254,2.9149939193282632,-4.102484997120616,-5.267308970064658,-2.6856866901181413
Portfolio,VR+R5<0,5,100,3.5,41,13.0,1.8125552608311228,0.2926829268292683,0.7073170731707317,-0.06278608809577652,0.4839998733789361,3.1632100495785638,-4.1276417990793925,-4.994502567893808,-2.8830344396356558
Portfolio,VR_only,5,100,3.5,61,16.0,2.696728558797524,0.26229508196721313,0.7377049180327869,0.23593484611620216,1.2480328185769614,2.90493757906567,-3.8495148393426,-5.332103719877653,-2.7082656808533603
Portfolio,VR+R5<0,5,100,4.0,30,11.0,1.3262599469496021,0.23333333333333334,0.7666666666666667,-0.540455829492645,0.6426836827871301,3.3166815030440935,-3.7530773320669994,-4.456478997406063,-2.9070858069897256
Portfolio,VR_only,5,100,4.0,41,12.0,1.8125552608311228,0.1951219512195122,0.8048780487804879,-0.4310277065537896,1.0741509314719524,2.913883672736071,-3.493252044445063,-4.72322609159076,-2.9311371743437955
Portfolio,VR+R5<0,10,50,1.5,209,44.0,9.239610963748895,0.2966507177033493,0.7033492822966507,0.8031036385184669,1.5474650623683166,2.2188283649756566,-3.7909698581772657,-5.642282832820003,-2.603002843793712
Portfolio,VR_only,10,50,1.5,418,41.0,18.47922192749779,0.2799043062200957,0.7200956937799043,0.7372631871400268,1.4766130521997378,1.7517496360052176,-3.62231278011068,-5.214263382202768,-2.0587959947204344
Portfolio,VR+R5<0,10,50,1.75,145,31.0,6.41025641025641,0.2482758620689655,0.7517241379310344,0.7273645166559707,1.9302949260439115,2.620987508990241,-3.5110035611085917,-5.663857642158407,-2.1610890480418106
Portfolio,VR_only,10,50,1.75,293,31.0,12.953138815207781,0.24914675767918087,0.7508532423208191,0.7068770755998494,1.6998240438951706,1.7474359524590675,-3.4568434740155105,-5.281984363052921,-1.8552699085960218
Portfolio,VR+R5<0,10,50,2.0,101,23.0,4.465075154730328,0.22772277227722773,0.7722772277227723,0.732399525199895,1.8911081386050694,2.7900313666205956,-3.2485592731068964,-5.437626162417714,-2.080186785139864
Portfolio,VR_only,10,50,2.0,198,25.0,8.753315649867375,0.23232323232323232,0.7676767676767676,0.6327340788215465,1.6143381282141125,1.5981587604399172,-3.4357645684941214,-5.409410689348067,-1.834822300902754
Portfolio,VR+R5<0,10,50,2.25,54,20.0,2.3872679045092835,0.16666666666666666,0.8333333333333334,0.8583902952575011,2.3682242724110703,3.6063336928204675,-2.692891367022499,-4.054127783743807,-2.0456854524344936
Portfolio,VR_only,10,50,2.25,120,20.0,5.305039787798409,0.2,0.8,0.7802638765460241,2.0401065733044472,1.9379634135660173,-2.9564326370405705,-4.743509977787377,-1.7196629922490043
Portfolio,VR+R5<0,10,50,2.5,32,16.0,1.414677276746242,0.1875,0.8125,0.9785152851027278,2.150918617278682,3.6719900140358086,-2.388322909001215,-4.195662181089252,-1.694397495769049
Portfolio,VR_only,10,50,2.5,74,15.0,3.2714412024756854,0.24324324324324326,0.7567567567567568,0.8527545120139906,2.260919467576203,1.6898067732986164,-2.910795888017769,-5.2218153781912875,-1.694397495769049
Portfolio,VR+R5<0,10,50,3.0,13,5.0,0.5747126436781609,0.07692307692307693,0.9230769230769231,1.8954735695476157,2.827701883715105,6.244890531086488,-1.58007568079165,-2.849138006841425,-0.967393369855627
